area,user_story_id,user_story,expected_behavior,surface,runner,evidence_required,last_result,last_run,artifact_or_pr,finding,next_action,priority,failure_class
"Authoring","rp-story-profile-suggest-drafts-not-verdicts","As a proof author, I can ask for suggested checks without accidentally treating the suggestion as proof.","Output is a draft profile only; it contains no passed, product_regression, or proof_insufficient verdict.","profile-suggest","local-cli","Generated profile; absence of proof verdict; saved stdout or draft path","passed","2026-06-21","docs/riddle-proof-story-matrix-runs/2026-06-21-initial-batch.md","Authoring boundary held: suggestions stayed drafts.","Promote after one more route-specific use against a real product change.","P2","doc_or_ux_gap"
"Local core","rp-story-local-core-trust-boundary","As a framework maintainer, I can validate core trust-boundary behavior without hosted infrastructure.","Local core regression pack passes route, query/hash, thrown-error, missing-selector, and no-diff cases.","regression-pack local core","local-core","regression-pack-result.json; required cases present; forbidden terminal markers absent","passed","2026-06-21","docs/riddle-proof-story-matrix-runs/2026-06-21-initial-batch.md","Core contracts are covered by a repeatable local suite.","Keep recurring and run before hosted batches.","P1","contract_gap"
"Hosted run","rp-story-hosted-happy-path-produces-artifacts","As a maintainer, I can run a hosted profile against a live route and receive evidence-backed artifacts.","Hosted run-profile returns passed and writes profile-result, summary, proof JSON, console, DOM summary, and screenshots.","run-profile hosted runner","hosted-riddle","profile-result.json; proof.json; screenshot; riddle.job_id","passed","2026-06-21","job_366d440b","Hosted happy path passed with 5/5 checks and artifact links.","Keep recurring; reuse as known-good packet for reporting and recovery checks.","P1","product_regression"
"Hosted negative control","rp-story-hosted-negative-control-stays-regression","As a maintainer, I can run a deliberate missing-selector profile and see product_regression instead of a false pass.","Negative control returns product_regression with failed-check evidence and artifacts.","run-profile hosted runner","hosted-riddle","profile-result.json; failed check; summary.md; console.json","product_regression_expected","2026-06-21","job_9f446230","Negative control stayed red: 1 passed / 1 failed.","Keep recurring next to hosted happy path.","P1","contract_gap"
"Cold start","rp-story-cold-start-does-not-duplicate-too-soon","As a hosted runner user, I can submit work while workers are scaled to zero without the client declaring the job stale too early.","Client waits through accepted worker cold-start latency and reports worker-wake progress.","hosted worker cold start","hosted-riddle","progress output; profile-result.json; queue/pre-submission timing","passed","2026-06-21","job_366d440b","Cold start waited about 165 seconds and completed without duplicate retry.","Run occasionally after infra changes; do not wait an hour for every batch.","P2","environment_blocked"
"Reporting","rp-story-pr-comment-renders-only-evidence-backed-status","As a reviewer, I can get a PR comment whose status, checks, screenshot, and links reflect the saved proof packet.","PR comment reads profile-result.json, uses profile check statuses, and links hosted artifacts.","pr-comment","local-cli","pr-comment-body.md; profile-result.json; screenshot/artifact links","found_fixed","2026-06-21","PR #947","Found real bug: profile packets were rejected or miscounted as 4 passed / 12 failed.","Keep recurring; replay against happy-path and negative-control packets.","P0","contract_gap"
"Artifact promotion","rp-story-profile-body-assertions-derive-from-real-artifact","As a profile promoter, I can derive body assertions from a real artifact before making a public claim.","Body assertion command emits present fragments and exits nonzero for missing required fragments.","profile-body-assertions","local-cli","body assertion output; nonzero missing-required case","passed","2026-06-21","docs/riddle-proof-story-matrix-runs/2026-06-21-initial-batch.md","Positive and missing-required cases behaved as a real gate.","Use when promoting public proof/profile claims.","P2","proof_insufficient"
"Artifact publication","rp-story-http-preflight-catches-publication-mismatch","As a publisher, I can preflight public artifact URLs before spending hosted browser time.","Preflight checks status, content type, bytes, required body fragments, forbidden body text, and JSON assertions.","profile-http-status-preflight","local-cli","preflight JSON; failed missing-fragment negative control","passed","2026-06-21","https://cdn.riddledc.com/scripts/job_366d440b/proof.json.json","Live CDN artifact passed positive checks; missing fragment failed clearly.","Keep as the cheap gate before broad hosted runs.","P1","product_regression"
"Recovery","rp-story-run-profile-recover-preserves-artifacts","As a user whose local process was interrupted, I can recover a hosted job and still get the proof artifacts and summary.","Recover preserves the original job id and writes profile-result, summary, proof JSON, console, DOM summary, and screenshot references.","run-profile recover","hosted-riddle","recovered profile-result.json; summary.md; proof.json; preserved job id","passed","2026-06-21","job_366d440b","Recovery reconstructed the hosted happy-path packet from the old job id.","Keep as recurring for interrupted-run confidence.","P2","environment_blocked"
"Package install","rp-ux-published-bin-resolves","As a new user, I can invoke the published package binary from a clean temporary directory.","npm exec resolves riddle-proof-loop and prints CLI help when npm is on PATH.","published package bin","npm-exec","npm exec output; package version","passed","2026-06-21","@riddledc/riddle-proof@0.8.68","Earlier command-not-found was local PATH, not a package bin defect.","Repeat after package metadata or bin changes.","P2","configuration_error"
"Local browser","rp-ux-local-playwright-runner-smoke","As a user avoiding hosted infra, I can run the local Playwright runner and receive the same profile-result contract shape.","riddle-proof-playwright writes profile-result.json, proof.json, console.json, dom-summary.json, summary.md, and artifact-manifest.json.","@riddledc/riddle-proof-runner-playwright","local-playwright","profile-result.json; artifact-manifest.json; screenshot or DOM evidence","passed","2026-06-21","docs/riddle-proof-story-matrix-runs/2026-06-21-ux-coverage-batch.md","Live local Playwright smoke passed against riddledc.com/proof with 5/5 checks.","Keep as local-vs-hosted parity smoke; rerun after runner package changes.","P1","configuration_error"
